Player,DOB,Age,Height,Country,Foot,ContractExp
kevin-ndoram,"Jan 22, 1996",23,"1,85 m",France  Chad,right,30.06.2020
wesley-fofana,"Dec 17, 2000",18,"1,90 m",France,right,30.06.2021
mateo-pavlovic,"Jun 9, 1990",29,"1,94 m",Croatia,right,30.06.2020
layvin-kurzawa,"Sep 4, 1992",27,"1,82 m",France  Poland,left,30.06.2020
jeff-reine-adelaide,"Jan 17, 1998",21,"1,84 m",France  Martinique,right,30.06.2024
hassane-kamara,"Mar 5, 1994",25,"1,68 m",France  The Gambia,left,30.06.2021
runar-alex-runarsson,"Feb 18, 1995",24,"1,86 m",Iceland,right,30.06.2022
jeremy-pied,"Feb 23, 1989",30,"1,73 m",France,right,30.06.2020
julien-faussurier,"Jan 14, 1987",32,"1,73 m",France,right,30.06.2021
francois-kamano,"May 1, 1996",23,"1,82 m",Guinea,right,30.06.2021
aaron-leya-iseka,"Nov 15, 1997",22,"1,82 m",Belgium  DR Congo,right,30.06.2022
saif-eddine-khaoui,"Apr 27, 1995",24,"1,80 m",Tunisia  France,left,30.06.2021
ibrahim-cisse,"May 2, 1996",23,"1,85 m",France  Senegal,right,30.06.2021
marquinhos,"May 14, 1994",25,"1,83 m",Brazil  Portugal,right,30.06.2022
frederic-sammaritano,"Mar 23, 1986",33,"1,62 m",France,right,30.06.2020
andrei-girotto,"Feb 17, 1992",27,"1,86 m",Brazil,right,30.06.2021
abdou-diallo,"May 4, 1996",23,"1,87 m",France  Senegal,left,30.06.2024
stefan-mitrovic,"May 22, 1990",29,"1,89 m",Serbia,both,30.06.2022
garissone-innocent,"Apr 16, 2000",19,"1,92 m",France,right,30.06.2023
eiji-kawashima,"Mar 20, 1983",36,"1,85 m",Japan,right,30.06.2021
adrien-hunou,"Jan 19, 1994",25,"1,79 m",France,right,30.06.2020
sada-thioub,"Jun 1, 1995",24,"1,79 m",Senegal  France,right,30.06.2023
ghislain-konan,"Dec 27, 1995",23,"1,76 m",Cote d'Ivoire,left,30.06.2022
sanjin-prcic,"Nov 20, 1993",25,"1,82 m",Bosnia-Herzegovina  France,right,30.06.2022
ibrahim-cisse,"Jan 11, 1999",20,"1,91 m",Cote d'Ivoire,right,-
kalidou-sidibe,"Jan 28, 1999",20,"2,00 m",France  Mali,right,30.06.2023
houssem-aouar,"Jun 30, 1998",21,"1,75 m",France  Algeria,right,30.06.2023
bilal-boutobba,"Aug 29, 1998",21,"1,72 m",France  Algeria,left,30.06.2020
ngonda-muzinga,"Dec 31, 1994",24,"1,82 m",DR Congo,left,30.06.2021
kenny-tete,"Oct 9, 1995",24,"1,80 m",Netherlands  Mozambique,right,30.06.2021
bertrand-traore,"Sep 6, 1995",24,"1,81 m",Burkina Faso,left,30.06.2022
amir-adouyev,"May 11, 1999",20,"1,81 m",Russia  France,right,30.06.2021
molla-wague,"Feb 21, 1991",28,"1,91 m",Mali  France,right,30.06.2022
jimmy-briand,"Aug 2, 1985",34,"1,83 m",France  Martinique,right,30.06.2020
max-gradel,"Nov 30, 1987",31,"1,75 m",Cote d'Ivoire  France,right,30.06.2021
youssouf-kone,"Jul 5, 1995",24,"1,74 m",Mali,left,30.06.2024
vincent-manceau,"Jul 24, 1989",30,"1,76 m",France,right,30.06.2022
valentin-rongier,"Dec 7, 1994",24,"1,72 m",France,right,30.06.2024
florian-miguel,"Sep 1, 1996",23,"1,79 m",France  Portugal,left,30.06.2021
ruben-aguilar,"Apr 26, 1993",26,"1,72 m",France  Spain,right,30.06.2024
ignatius-ganago,"Feb 16, 1999",20,"1,76 m",Cameroon,right,30.06.2022
moussa-konate,"Apr 3, 1993",26,"1,83 m",Senegal,right,30.06.2021
donovan-leon,"Nov 3, 1992",27,"1,87 m",French Guiana  France,right,30.06.2020
abdoul-kader-bamba,"May 25, 1994",25,"1,76 m",France,right,30.06.2022
keylor-navas,"Dec 15, 1986",32,"1,85 m",Costa Rica  Spain,right,30.06.2023
cristian-battocchio,"Feb 10, 1992",27,"1,77 m",Italy  Argentina,right,30.06.2021
boubacar-kamara,"Nov 23, 1999",19,"1,84 m",France  Senegal,right,30.06.2022
arturo-calabresi,"Mar 17, 1996",23,"1,86 m",Italy,right,30.06.2020
angel-di-maria,"Feb 14, 1988",31,"1,80 m",Argentina  Italy,left,30.06.2021
kevin-zohi,"Dec 19, 1996",22,"1,77 m",Mali  Cote d'Ivoire,right,30.06.2021
alexis-claude-maurice,"Jun 6, 1998",21,"1,74 m",France,right,30.06.2024
mauro-icardi,"Feb 19, 1993",26,"1,81 m",Argentina  Italy,right,30.06.2020
predrag-rajkovic,"Oct 31, 1995",24,"1,92 m",Serbia,right,30.06.2023
pedro-mendes,"Oct 1, 1990",29,"1,86 m",Portugal,right,30.06.2021
valere-germain,"Apr 17, 1990",29,"1,80 m",France,right,30.06.2021
yoan-cardinale,"Mar 27, 1994",25,"1,81 m",France,right,30.06.2020
rafik-guitane,"May 26, 1999",20,"1,64 m",France  Algeria,right,30.06.2022
wesley-said,"Apr 19, 1995",24,"1,71 m",France,right,30.06.2023
benoit-badiashile,"Mar 26, 2001",18,"1,94 m",France  DR Congo,left,30.06.2021
sacha-boey,"Sep 13, 2000",19,"1,78 m",France  Cameroon,right,30.06.2022
romain-salin,"Jul 29, 1984",35,"1,89 m",France,left,30.06.2021
remi-oudin,"Nov 18, 1996",22,"1,85 m",France,left,30.06.2021
benjamin-corgnet,"Apr 6, 1987",32,"1,79 m",France,right,30.06.2020
haris-duljevic,"Nov 16, 1993",26,"1,85 m",Bosnia-Herzegovina,right,30.06.2022
ulrick-eneme-ella,"May 22, 2001",18,"1,84 m",France  Gabon,right,30.06.2023
jhonder-cadiz,"Jul 29, 1995",24,"1,90 m",Venezuela,right,30.06.2020
ambroise-oyongo,"Jun 22, 1991",28,"1,76 m",Cameroon,left,30.06.2022
issiaga-sylla,"Jan 1, 1994",25,"1,80 m",Guinea,left,30.06.2023
gen-shoji,"Dec 11, 1992",26,"1,82 m",Japan,right,30.06.2022
jonathan-cafu,"Jul 10, 1991",28,"1,75 m",Brazil  Bulgaria,right,30.06.2021
kevin-denkey,"Nov 30, 2000",18,"1,81 m",Togo,right,30.06.2021
gabriel-boschilia,"Mar 5, 1996",23,"1,72 m",Brazil  Italy,left,30.06.2021
renaud-cohade,"Sep 29, 1984",35,"1,81 m",France,right,30.06.2020
amine-adli,"May 10, 2000",19,"1,74 m",France,NaN,30.06.2021
mohamed-simakan,"May 3, 2000",19,"1,87 m",France  Guinea,right,30.06.2021
alexandre-mendy,"Mar 20, 1994",25,"1,84 m",France  Senegal,right,30.06.2020
alvaro-gonzalez,"Jan 8, 1990",29,"1,82 m",Spain,right,30.06.2020
timothy-weah,"Feb 22, 2000",19,"1,85 m",United States  France,right,30.06.2024
kasper-dolberg,"Oct 6, 1997",22,"1,87 m",Denmark,right,30.06.2024
charles-traore,"Jan 1, 1992",27,"1,80 m",Mali  France,left,30.06.2021
dereck-kutesa,"Dec 6, 1997",21,"1,78 m",Switzerland  Angola,right,30.06.2023
leo-dubois,"Sep 14, 1994",25,"1,78 m",France,right,30.06.2024
farid-boulaya,"Feb 25, 1993",26,"1,80 m",Algeria  France,right,30.06.2022
zinedine-ferhat,"Mar 1, 1993",26,"1,80 m",Algeria,right,30.06.2022
gautier-larsonneur,"Feb 23, 1997",22,"1,81 m",France,right,30.06.2021
fode-ballo-toure,"Jan 3, 1997",22,"1,82 m",France  Mali,left,30.06.2023
manuel-cabit,"Jun 3, 1993",26,"1,80 m",Martinique  France,left,30.06.2022
virgile-pinson,"Feb 22, 1996",23,"1,77 m",France  Cameroon,right,30.06.2021
diego-benaglio,"Sep 8, 1983",36,"1,94 m",Switzerland  Italy,right,30.06.2020
leandro-paredes,"Jun 29, 1994",25,"1,80 m",Argentina,right,30.06.2023
theo-barbet,"Mar 6, 2001",18,"1,84 m",France,left,30.06.2022
harold-moukoudi,"Nov 27, 1997",21,"1,91 m",France  Cameroon,right,30.06.2023
nathanael-mbuku,"Mar 16, 2002",17,"1,70 m",France,left,30.06.2021
mathieu-bodmer,"Nov 22, 1982",36,"1,90 m",France,right,30.06.2020
moses-simon,"Jul 12, 1995",24,"1,68 m",Nigeria,both,30.06.2020
fouad-chafik,"Oct 16, 1986",33,"1,83 m",Morocco  France,right,30.06.2020
ludovic-baal,"May 24, 1986",33,"1,76 m",French Guiana  France,left,30.06.2020
lucas-dias,"May 22, 1999",20,"1,85 m",France,right,30.06.2022
stefan-bajic,"Dec 23, 2001",17,"1,87 m",France,right,30.06.2022
jose-fonte,"Dec 22, 1983",35,"1,91 m",Portugal,right,30.06.2021
christophe-jallet,"Oct 31, 1983",36,"1,78 m",France,right,30.06.2020
assane-diousse,"Sep 20, 1997",22,"1,75 m",Senegal,left,30.06.2022
bassem-srarfi,"Jun 25, 1997",22,"1,76 m",Tunisia,left,30.06.2021
habib-diallo,"Jun 15, 1995",24,"1,86 m",Senegal,right,30.06.2022
albert-lottin,"Aug 29, 2001",18,"1,81 m",France,right,30.06.2021
jean-kevin-augustin,"Jun 16, 1997",22,"1,77 m",France  Haiti,right,30.06.2020
adama-traore,"Jun 5, 1995",24,"1,77 m",Mali,left,30.06.2022
bryan-soumare,"Feb 11, 1999",20,"1,80 m",France,left,30.06.2022
william-saliba,"Mar 24, 2001",18,"1,93 m",France  Cameroon,right,30.06.2020
jonathan-ikone,"May 2, 1998",21,"1,75 m",France  DR Congo,left,30.06.2023
gaetan-belaud,"Sep 16, 1986",33,"1,77 m",France,right,30.06.2020
mickael-alphonse,"Jul 12, 1989",30,"1,82 m",Guadeloupe  France,right,30.06.2021
hianga-mbock,"Dec 28, 1999",19,"1,86 m",France  Cameroon,right,30.06.2022
stephy-mavididi,"May 31, 1998",21,"1,83 m",England  DR Congo,right,30.06.2020
theo-vermot,"Jan 27, 1997",22,"1,90 m",France,right,-
alexander-djiku,"Aug 9, 1994",25,"1,82 m",France  Ghana,right,30.06.2023
papa-ndiaga-yade,"Jan 5, 2000",19,"1,86 m",Senegal,left,30.06.2024
stanley-nsoki,"Apr 9, 1999",20,"1,78 m",France  Congo,left,30.06.2023
luiz-araujo,"Jun 2, 1996",23,"1,75 m",Brazil,left,30.06.2022
mathias-autret,"Mar 1, 1991",28,"1,75 m",France,right,30.06.2020
marshall-munetsi,"Jun 22, 1996",23,"1,87 m",Zimbabwe,right,30.06.2023
rafael,"Jul 9, 1990",29,"1,72 m",Brazil  Portugal,right,30.06.2021
loic-mbe-soh,"Jun 13, 2001",18,"1,86 m",France  Cameroon,right,30.06.2021
pierre-lees-melou,"May 25, 1993",26,"1,85 m",France,right,30.06.2021
zinedine-ould-khaled,"Jan 14, 2000",19,NaN,France,NaN,-
david-kiki,"Nov 25, 1993",25,"1,80 m",Benin,left,30.06.2021
matthieu-udol,"Mar 20, 1996",23,"1,78 m",France,left,30.06.2020
paul-bernardoni,"Apr 18, 1997",22,"1,90 m",France,right,30.06.2020
aleksandr-golovin,"May 30, 1996",23,"1,80 m",Russia,right,30.06.2023
aurelien-chedjou,"Jun 20, 1985",34,"1,84 m",Cameroon  France,right,30.06.2021
sambou-sissoko,"Apr 27, 1999",20,"1,79 m",France  Mali,both,30.06.2023
darell-tokpa,"Jun 2, 2001",18,NaN,France,NaN,30.06.2022
brendan-chardonnet,"Dec 22, 1994",24,"1,81 m",France,right,30.06.2021
haitam-aleesami,"Jul 31, 1991",28,"1,83 m",Norway,left,30.06.2022
malang-sarr,"Jan 23, 1999",20,"1,82 m",France  Senegal,left,30.06.2021
julio-tavares,"Nov 19, 1988",30,"1,87 m",Cape Verde  France,right,30.06.2021
amine-gouiri,"Feb 16, 2000",19,"1,80 m",France  Algeria,right,30.06.2022
alban-lafont,"Jan 23, 1999",20,"1,93 m",France  Burkina Faso,right,30.06.2021
teji-savanier,"Dec 22, 1991",27,"1,71 m",France,right,30.06.2023
youssouf-sabaly,"Mar 5, 1993",26,"1,74 m",Senegal  France,right,30.06.2021
lamine-kone,"Feb 1, 1989",30,"1,89 m",Cote d'Ivoire  France,right,30.06.2021
tiago-djalo,"Apr 9, 2000",19,"1,90 m",Portugal,right,30.06.2024
kevin-mayi,"Jan 14, 1993",26,"1,82 m",France  Gabon,right,30.06.2020
abdoulaye-bamba,"Apr 25, 1990",29,"1,82 m",Cote d'Ivoire  Italy,right,30.06.2021
abdoulaye-dabo,"Mar 4, 2001",18,"1,81 m",France  Guinea,left,30.06.2022
charles-abi,"Apr 12, 2000",19,"1,87 m",France,left,30.06.2022
danijel-subasic,"Oct 27, 1984",35,"1,91 m",Croatia,right,30.06.2020
ahmadou-dia,"Oct 13, 1999",20,"1,82 m",France,left,30.06.2022
pablo-sarabia,"May 11, 1992",27,"1,78 m",Spain,left,30.06.2024
lenny-vallier,"Apr 24, 1999",20,"1,78 m",France,left,-
regis-gurtner,"Dec 8, 1986",32,"1,82 m",France,right,30.06.2022
saman-ghoddos,"Sep 6, 1993",26,"1,77 m",Iran  Sweden,right,30.06.2023
guillermo-maripan,"May 6, 1994",25,"1,93 m",Chile,right,30.06.2024
antonin-bobichon,"Sep 14, 1995",24,"1,70 m",France,right,30.06.2023
dario-benedetto,"May 17, 1990",29,"1,77 m",Argentina  Mexico,right,30.06.2023
khephren-thuram,"Mar 26, 2001",18,"1,91 m",France  Guadeloupe,right,30.06.2022
willem-geubbels,"Aug 16, 2001",18,"1,85 m",France  Netherlands,right,30.06.2023
efthymios-koulouris,"Mar 6, 1996",23,"1,86 m",Greece,right,30.06.2023
florentin-bloch,"Feb 2, 2000",19,"1,90 m",France,left,30.06.2022
kelyan-guessoum,"Feb 5, 1999",20,"1,75 m",France,right,30.06.2022
rafal-kurzawa,"Jan 29, 1993",26,"1,82 m",Poland,left,30.06.2021
sergio-rico,"Sep 1, 1993",26,"1,94 m",Spain,right,30.06.2020
stevan-jovetic,"Nov 2, 1989",30,"1,83 m",Montenegro  Serbia,right,30.06.2021
ibrahima-sissoko,"Oct 27, 1997",22,"1,93 m",France  Mali,right,30.06.2022
anthony-rouault,"May 29, 2001",18,"1,86 m",France,right,-
dario-maresic,"Sep 29, 1999",20,"1,83 m",Austria  Croatia,both,30.06.2024
paul-baysse,"May 18, 1988",31,"1,85 m",France,right,30.06.2021
kenny-lala,"Oct 3, 1991",28,"1,78 m",France  Martinique,right,30.06.2021
bongani-zungu,"Oct 9, 1992",27,"1,84 m",South Africa,right,30.06.2021
dante,"Oct 18, 1983",36,"1,88 m",Brazil,left,30.06.2021
moataz-zemzemi,"Aug 7, 1999",20,"1,83 m",Tunisia,left,30.06.2021
gil-dias,"Sep 28, 1996",23,"1,86 m",Portugal,left,30.06.2022
amadou-ndiaye,"Jan 2, 2000",19,"1,86 m",Senegal,right,30.06.2022
benjamin-bourigeaud,"Jan 14, 1994",25,"1,77 m",France,right,30.06.2021
colin-dagba,"Sep 6, 1998",21,"1,70 m",France  Benin,right,30.06.2024
mexer,"Sep 8, 1988",31,"1,88 m",Mozambique,right,30.06.2023
mounir-chouiar,"Jan 23, 1999",20,"1,80 m",France  Morocco,right,30.06.2022
alexis-blin,"Sep 16, 1996",23,"1,84 m",France,right,30.06.2022
alfred-gomis,"Sep 5, 1993",26,"1,96 m",Senegal  Italy,right,30.06.2023
ciprian-tatarusanu,"Feb 9, 1986",33,"1,98 m",Romania,right,30.06.2022
lois-diony,"Dec 20, 1992",26,"1,83 m",France  Martinique,right,30.06.2021
jeremy-morel,"Apr 2, 1984",35,"1,72 m",Madagascar  France,left,30.06.2020
yusuf-yazici,"Jan 29, 1997",22,"1,83 m",Turkey,left,30.06.2024
clement-grenier,"Jan 7, 1991",28,"1,86 m",France,right,30.06.2021
julian-draxler,"Sep 20, 1993",26,"1,87 m",Germany,right,30.06.2021
nicolas-pallois,"Sep 19, 1987",32,"1,89 m",France,left,30.06.2022
rachid-alioui,"Jun 18, 1992",27,"1,86 m",Morocco  France,right,30.06.2022
sidy-sarr,"Jun 5, 1996",23,"1,96 m",Senegal,left,30.06.2023
pablo-martinez,"Feb 21, 1989",30,"1,82 m",France  Spain,left,30.06.2022
gabriel-magalhaes,"Dec 19, 1997",21,"1,90 m",Brazil,left,30.06.2021
lucas-perrin,"Nov 19, 1998",20,"1,87 m",France,right,30.06.2021
islam-slimani,"Jun 18, 1988",31,"1,88 m",Algeria,right,30.06.2020
youssouf-fofana,"Jan 10, 1999",20,"1,76 m",France  Mali,right,30.06.2023
wesley-lautoa,"Aug 25, 1987",32,"1,84 m",France,left,30.06.2020
petar-skuletic,"Jun 29, 1990",29,"1,93 m",Serbia  Montenegro,left,30.06.2020
jean-victor-makengo,"Jun 12, 1998",21,"1,77 m",France  DR Congo,left,30.06.2020
aurelien-tchouameni,"Jan 27, 2000",19,"1,85 m",France  Cameroon,right,30.06.2022
duje-caleta-car,"Sep 17, 1996",23,"1,92 m",Croatia,right,30.06.2023
joris-chotard,"Sep 24, 2001",18,"1,79 m",France,right,30.06.2022
marcal,"Feb 19, 1989",30,"1,78 m",Brazil,left,30.06.2021
xeka,"Nov 10, 1994",25,"1,86 m",Portugal,both,30.06.2022
wahbi-khazri,"Feb 8, 1991",28,"1,82 m",Tunisia  France,right,30.06.2022
souleymane-camara,"Dec 22, 1982",36,"1,74 m",Senegal,right,30.06.2020
mathieu-cafaro,"Mar 25, 1997",22,"1,75 m",France,right,30.06.2022
gabriel-silva,"May 13, 1991",28,"1,79 m",Brazil,left,30.06.2023
agustin-rogel,"Oct 17, 1997",22,"1,90 m",Uruguay  Italy,right,30.06.2022
adama-soumaoro,"Jun 18, 1992",27,"1,86 m",France  Mali,right,30.06.2021
anthony-racioppi,"Dec 31, 1998",20,"1,89 m",Switzerland,right,30.06.2021
valentin-gendrey,"Jun 21, 2000",19,"1,79 m",France  Guadeloupe,right,30.06.2022
baptiste-santamaria,"Mar 9, 1995",24,"1,83 m",France,right,30.06.2022
remi-walter,"Apr 26, 1995",24,"1,74 m",France,left,30.06.2020
thomas-delaine,"Mar 24, 1992",27,"1,80 m",France,left,30.06.2022
rene-krhin,"May 21, 1990",29,"1,89 m",Slovenia,right,30.06.2020
adrien-silva,"Mar 15, 1989",30,"1,75 m",Portugal  France,right,30.06.2020
prince-gouano,"Dec 24, 1993",25,"1,86 m",France  Cote d'Ivoire,right,30.06.2021
sanasi-sy,"Dec 4, 1999",19,"1,74 m",France  Senegal,left,-
presnel-kimpembe,"Aug 13, 1995",24,"1,83 m",France  DR Congo,left,30.06.2023
hamza-mendyl,"Oct 21, 1997",22,"1,79 m",Morocco  Cote d'Ivoire,left,30.06.2020
denys-bain,"Jul 2, 1993",26,"1,81 m",France  Benin,both,30.06.2022
dimitry-bertaud,"Jun 6, 1998",21,"1,80 m",France,right,30.06.2022
paul-lasne,"Jan 16, 1989",30,"1,86 m",France,left,30.06.2020
patrick-burner,"Apr 11, 1996",23,"1,70 m",France  Martinique,right,30.06.2020
arnaud-souquet,"Feb 12, 1992",27,"1,79 m",France,right,30.06.2023
moussa-doumbia,"Aug 15, 1994",25,"1,73 m",Mali,right,30.06.2022
lionel-carole,"Apr 12, 1991",28,"1,82 m",France  Martinique,left,30.06.2021
romain-hamouma,"Mar 29, 1987",32,"1,78 m",France,right,30.06.2021
yoann-court,"Jan 14, 1990",29,"1,72 m",France,left,30.06.2020
bouna-sarr,"Jan 31, 1992",27,"1,77 m",France  Guinea,right,30.06.2022
lamine-fomba,"Jan 26, 1998",21,"1,87 m",France  Mali,right,30.06.2023
arnaud-nordin,"Jun 17, 1998",21,"1,70 m",France  Martinique,left,30.06.2022
jordan-ferri,"Mar 12, 1992",27,"1,72 m",France,right,30.06.2024
myziane-maolida,"Feb 14, 1999",20,"1,82 m",France  Comoros,right,30.06.2023
nayef-aguerd,"Mar 30, 1996",23,"1,88 m",Morocco,left,30.06.2021
