Player,DOB,Age,Height,Country,Foot,ContractExp
ivan-saponjic,"Aug 2, 1997",22,"1,92 m",Serbia,right,30.06.2022
alex-alegria,"Oct 14, 1992",27,"1,91 m",Spain,right,30.06.2024
maxi-gomez,"Aug 14, 1996",23,"1,86 m",Uruguay,right,30.06.2024
erick-cabaco,"Apr 19, 1995",24,"1,86 m",Uruguay  Italy,right,30.06.2022
robert-ibanez,"Mar 22, 1993",26,"1,81 m",Spain,right,30.06.2023
fran-beltran,"Feb 3, 1999",20,"1,72 m",Spain,right,30.06.2023
andrii-lunin,"Feb 11, 1999",20,"1,91 m",Ukraine,right,30.06.2020
antonio-puertas,"Feb 21, 1992",27,"1,83 m",Spain,right,30.06.2020
lisandro-magallan,"Sep 27, 1993",26,"1,85 m",Argentina  Italy,right,30.06.2020
kike,"Nov 25, 1989",29,"1,86 m",Spain,right,30.06.2021
daniel-wass,"May 31, 1989",30,"1,78 m",Denmark,right,30.06.2022
manolo-reina,"Apr 1, 1985",34,"1,86 m",Spain,right,30.06.2021
ruben-garcia,"Jul 14, 1993",26,"1,71 m",Spain,left,30.06.2023
angel-correa,"Mar 9, 1995",24,"1,71 m",Argentina  Spain,right,30.06.2024
ruben-pardo,"Oct 22, 1992",27,"1,81 m",Spain,right,30.06.2020
manu-trigueros,"Oct 17, 1991",28,"1,78 m",Spain,right,30.06.2022
luis-perea,"Aug 25, 1997",22,"1,91 m",Spain,NaN,30.06.2021
david-costas,"Mar 26, 1995",24,"1,84 m",Spain,right,30.06.2022
ander-capa,"Feb 8, 1992",27,"1,75 m",Spain,right,30.06.2022
ibai-gomez,"Nov 11, 1989",30,"1,78 m",Spain,right,30.06.2022
nelson-semedo,"Nov 16, 1993",25,"1,77 m",Portugal,right,30.06.2022
german-sanchez,"Oct 31, 1986",33,"1,87 m",Spain,right,30.06.2021
marc-cucurella,"Jul 22, 1998",21,"1,75 m",Spain,left,30.06.2020
angel-rodriguez,"Apr 26, 1987",32,"1,71 m",Spain,right,30.06.2021
luca-sangalli,"Feb 10, 1995",24,"1,67 m",Spain,NaN,30.06.2022
sabin-merino,"Jan 4, 1992",27,"1,87 m",Spain,right,30.06.2020
gabriel-paulista,"Nov 26, 1990",28,"1,87 m",Brazil,right,30.06.2022
ander-iturraspe,"Mar 8, 1989",30,"1,87 m",Spain,right,30.06.2020
fernando-pacheco,"May 18, 1992",27,"1,86 m",Spain,left,30.06.2023
abdon-prats,"Dec 7, 1992",26,"1,81 m",Spain,left,30.06.2021
raul-albiol,"Sep 4, 1985",34,"1,90 m",Spain,right,30.06.2022
pablo-chavarria,"Jan 2, 1988",31,"1,85 m",Argentina  Italy,right,30.06.2021
dani-martin,"Jul 8, 1998",21,"1,87 m",Spain,right,30.06.2024
filip-manojlovic,"Apr 25, 1996",23,"1,97 m",Serbia,right,30.06.2021
gaizka-larrazabal,"Dec 17, 1997",21,"1,80 m",Spain,right,30.06.2021
david-timor,"Oct 17, 1989",30,"1,85 m",Spain,left,30.06.2022
antonio-sivera,"Aug 11, 1996",23,"1,84 m",Spain,right,30.06.2021
aleksandar-trajkovski,"Sep 5, 1992",27,"1,79 m",North Macedonia,both,30.06.2023
nacho,"Jan 18, 1990",29,"1,80 m",Spain,right,30.06.2020
jose-manuel-arnaiz,"Apr 15, 1995",24,"1,75 m",Spain,right,30.06.2023
alphonse-areola,"Feb 27, 1993",26,"1,95 m",France  Philippines,right,30.06.2020
federico-barba,"Sep 1, 1993",26,"1,85 m",Italy,left,30.06.2020
quique,"May 16, 1990",29,"1,77 m",Spain,left,30.06.2024
roberto-correa,"Sep 20, 1992",27,"1,80 m",Spain,right,30.06.2022
josep-sene,"Dec 10, 1991",27,"1,86 m",Spain,right,30.06.2022
james-rodriguez,"Jul 12, 1991",28,"1,81 m",Colombia  Spain,left,30.06.2021
jean-clair-todibo,"Dec 30, 1999",19,"1,89 m",France  French Guiana,right,30.06.2023
ruben-perez,"Apr 26, 1989",30,"1,78 m",Spain,right,30.06.2022
martin-braithwaite,"Jun 5, 1991",28,"1,77 m",Denmark  Guyana,NaN,30.06.2023
mariano-barbosa,"Jul 27, 1984",35,"1,88 m",Argentina  Italy,right,30.06.2020
francisco-portillo,"Jun 13, 1990",29,"1,69 m",Spain,right,30.06.2021
pablo-hervias,"Mar 8, 1993",26,"1,74 m",Spain,right,30.06.2022
xabi-etxeita,"Oct 31, 1987",32,"1,86 m",Spain,right,30.06.2021
juanmi,"May 20, 1993",26,"1,72 m",Spain,right,30.06.2024
lumor,"Aug 15, 1996",23,"1,75 m",Ghana,left,30.06.2020
aaron-escandell,"Sep 27, 1995",24,"1,85 m",Spain,right,30.06.2020
takefusa-kubo,"Jun 4, 2001",18,"1,73 m",Japan,left,30.06.2020
joan-sastre,"Apr 30, 1997",22,"1,74 m",Spain,right,30.06.2023
mikel-oyarzabal,"Apr 21, 1997",22,"1,81 m",Spain,left,30.06.2024
miguel-angel-moya,"Apr 2, 1984",35,"1,89 m",Spain,right,30.06.2020
aritz-elustondo,"Mar 28, 1994",25,"1,82 m",Spain,right,30.06.2022
inaki-williams,"Jun 15, 1994",25,"1,86 m",Spain  Ghana,right,30.06.2028
abdul-rahman-baba,"Jul 2, 1994",25,"1,79 m",Ghana,left,30.06.2020
adrian-marin,"Jan 9, 1997",22,"1,81 m",Spain,left,30.06.2021
iago-herrerin,"Jan 25, 1988",31,"1,87 m",Spain,right,30.06.2021
nacho-monreal,"Feb 26, 1986",33,"1,80 m",Spain,left,30.06.2021
pablo-piatti,"Mar 31, 1989",30,"1,63 m",Argentina  Italy,both,30.06.2020
vinicius-junior,"Jul 12, 2000",19,"1,76 m",Brazil,right,30.06.2025
manu-garcia,"Apr 26, 1986",33,"1,83 m",Spain,left,30.06.2020
sergio-canales,"Feb 16, 1991",28,"1,80 m",Spain,left,30.06.2022
kevin-vazquez,"Mar 23, 1993",26,"1,75 m",Spain,right,30.06.2023
alvaro-tejero,"Jul 20, 1996",23,"1,74 m",Spain,both,30.06.2024
roque-mesa,"Jun 7, 1989",30,"1,72 m",Spain,right,30.06.2020
joan-jordan,"Jul 6, 1994",25,"1,85 m",Spain,right,30.06.2023
santi-cazorla,"Dec 13, 1984",34,"1,68 m",Spain,both,30.06.2020
sergio-busquets,"Jul 16, 1988",31,"1,89 m",Spain,right,30.06.2023
mikel-vesga,"Apr 8, 1993",26,"1,91 m",Spain,left,30.06.2021
mathi-shy-as-olivera,"Oct 31, 1997",22,"1,83 m",Uruguay  Spain,left,30.06.2023
maxime-gonalons,"Mar 10, 1989",30,"1,87 m",France,right,30.06.2020
fran-merida,"Mar 4, 1990",29,"1,74 m",Spain,left,30.06.2020
alvaro-odriozola,"Dec 14, 1995",23,"1,76 m",Spain,right,30.06.2024
andoni-gorosabel,"Aug 4, 1996",23,"1,74 m",Spain,right,30.06.2021
luuk-de-jong,"Aug 27, 1990",29,"1,88 m",Netherlands,right,30.06.2023
nolito,"Oct 15, 1986",33,"1,75 m",Spain,right,30.06.2020
didac-vila,"Jun 9, 1989",30,"1,85 m",Spain,left,30.06.2020
chidozie-awaziem,"Jan 1, 1997",22,"1,89 m",Nigeria,right,30.06.2020
clement-lenglet,"Jun 17, 1995",24,"1,86 m",France,left,30.06.2023
joao-felix,"Nov 10, 1999",20,"1,80 m",Portugal,both,30.06.2026
gerard-pique,"Feb 2, 1987",32,"1,92 m",Spain,right,30.06.2022
luka-jovic,"Dec 23, 1997",21,"1,82 m",Serbia,both,30.06.2025
kieran-trippier,"Sep 19, 1990",29,"1,73 m",England,right,30.06.2022
alvaro-morata,"Oct 23, 1992",27,"1,87 m",Spain,right,30.06.2020
pau-torres,"Jan 16, 1997",22,"1,91 m",Spain,left,30.06.2024
rober-pier,"Feb 16, 1995",24,"1,82 m",Spain,right,30.06.2023
saul-niguez,"Nov 21, 1994",24,"1,84 m",Spain,left,30.06.2026
inigo-martinez,"May 17, 1991",28,"1,82 m",Spain,left,30.06.2023
salva-sevilla,"Mar 18, 1984",35,"1,78 m",Spain,right,30.06.2021
esteban-burgos,"Jan 9, 1992",27,"1,91 m",Argentina,right,30.06.2022
manu-morlanes,"Jan 12, 1999",20,"1,78 m",Spain,right,30.06.2023
alejandro-pozo,"Feb 22, 1999",20,"1,74 m",Spain,right,30.06.2023
alfonso-pedraza,"Apr 9, 1996",23,"1,84 m",Spain,left,30.06.2020
toni-villa,"Jan 7, 1995",24,"1,72 m",Spain,right,30.06.2021
ezequiel-garay,"Oct 10, 1986",33,"1,88 m",Argentina  Spain,right,30.06.2020
isco,"Apr 21, 1992",27,"1,76 m",Spain,right,30.06.2022
oscar-duarte,"Jun 3, 1989",30,"1,86 m",Costa Rica  Nicaragua,right,30.06.2021
dani-rodriguez,"Jun 6, 1988",31,"1,78 m",Spain,right,30.06.2021
william-carvalho,"Apr 7, 1992",27,"1,87 m",Portugal  Angola,right,30.06.2023
kenneth-omeruo,"Oct 17, 1993",26,"1,85 m",Nigeria,right,30.06.2024
diego-lopez,"Nov 3, 1981",38,"1,96 m",Spain,right,30.06.2020
david-junca,"Nov 16, 1993",25,"1,78 m",Spain,left,30.06.2023
ousmane-dembele,"May 15, 1997",22,"1,78 m",France,both,30.06.2022
thibaut-courtois,"May 11, 1992",27,"1,99 m",Belgium,left,30.06.2024
thomas,"Jun 13, 1993",26,"1,85 m",Ghana,right,30.06.2023
lucas-perez,"Sep 10, 1988",31,"1,80 m",Spain,left,30.06.2022
ruben-sobrino,"Jun 1, 1992",27,"1,85 m",Spain,right,30.06.2022
sime-vrsaljko,"Jan 10, 1992",27,"1,81 m",Croatia,right,30.06.2022
vitolo,"Nov 2, 1989",30,"1,85 m",Spain,right,30.06.2022
coke,"Apr 26, 1987",32,"1,76 m",Spain,right,30.06.2022
antonito,"Dec 24, 1987",31,"1,75 m",Spain,right,30.06.2021
unai-simon,"Jun 11, 1997",22,"1,90 m",Spain,right,30.06.2023
mariano-diaz,"Aug 1, 1993",26,"1,80 m",Dominican Republic  Spain,right,30.06.2023
paulo-oliveira,"Jan 8, 1992",27,"1,87 m",Portugal,right,30.06.2021
javi-ontiveros,"Sep 9, 1997",22,"1,75 m",Spain,right,30.06.2024
modibo-sagnan,"Apr 14, 1999",20,"1,87 m",France  Mali,left,30.06.2024
marc-roca,"Nov 26, 1996",22,"1,84 m",Spain,left,30.06.2022
nikola-vukcevic,"Dec 13, 1991",27,"1,87 m",Montenegro,right,30.06.2022
nestor-araujo,"Aug 29, 1991",28,"1,88 m",Mexico,right,30.06.2023
david-soria,"Apr 4, 1993",26,"1,92 m",Spain,right,30.06.2022
antonio-adan,"May 13, 1987",32,"1,90 m",Spain,left,30.06.2020
adria-pedrosa,"May 13, 1998",21,"1,72 m",Spain,left,30.06.2023
pedro-bigas,"May 15, 1990",29,"1,81 m",Spain,left,30.06.2022
ruben-vezo,"Apr 25, 1994",25,"1,82 m",Portugal  Cape Verde,right,30.06.2024
frenkie-de-jong,"May 12, 1997",22,"1,81 m",Netherlands,right,30.06.2024
yangel-herrera,"Jan 7, 1998",21,"1,84 m",Venezuela,right,30.06.2020
ruben-martinez,"Jun 22, 1984",35,"1,87 m",Spain,right,30.06.2020
bono,"Apr 5, 1991",28,"1,92 m",Morocco  Canada,left,30.06.2020
lago-junior,"Dec 31, 1990",28,"1,80 m",Cote d'Ivoire,right,30.06.2023
goncalo-guedes,"Nov 29, 1996",22,"1,79 m",Portugal,right,30.06.2023
martin-valjent,"Dec 11, 1995",23,"1,87 m",Slovakia,right,30.06.2022
facundo-roncaglia,"Feb 10, 1987",32,"1,79 m",Argentina  Italy,right,30.06.2020
ivan-cuellar,"May 25, 1984",35,"1,87 m",Spain,left,30.06.2021
bernardo-espinosa,"Jul 11, 1989",30,"1,92 m",Colombia  Spain,right,30.06.2020
jaume-domenech,"Nov 5, 1990",29,"1,85 m",Spain,right,30.06.2023
ruben-rochina,"Mar 23, 1991",28,"1,82 m",Spain,left,30.06.2021
joselu,"Mar 27, 1990",29,"1,92 m",Spain,right,30.06.2022
jose-luis-morales,"Jul 23, 1987",32,"1,80 m",Spain,right,30.06.2021
ander-guevara,"Jul 7, 1997",22,"1,80 m",Spain,right,30.06.2024
portu,"May 21, 1992",27,"1,78 m",Spain,right,30.06.2024
igor-zubeldia,"Mar 30, 1997",22,"1,80 m",Spain,right,30.06.2024
denis-cheryshev,"Dec 26, 1990",28,"1,79 m",Russia  Spain,left,30.06.2022
franco-vazquez,"Feb 22, 1989",30,"1,87 m",Argentina  Italy,left,30.06.2021
ever-banega,"Jun 29, 1988",31,"1,74 m",Argentina  Spain,right,30.06.2020
sandro-ramirez,"Jul 9, 1995",24,"1,75 m",Spain,right,30.06.2020
inigo-perez,"Jan 18, 1988",31,"1,78 m",Spain,left,30.06.2022
victor-sanchez,"Sep 8, 1987",32,"1,74 m",Spain,right,30.06.2021
mikel-san-jose,"May 30, 1989",30,"1,87 m",Spain,right,30.06.2020
cristian-tello,"Aug 11, 1991",28,"1,78 m",Spain,both,30.06.2022
jose-gimenez,"Jan 20, 1995",24,"1,85 m",Uruguay  Spain,right,30.06.2023
sergio-asenjo,"Jun 28, 1989",30,"1,89 m",Spain,right,30.06.2022
roberto-torres,"Mar 7, 1989",30,"1,78 m",Spain,right,30.06.2021
faycal-fajr,"Aug 1, 1988",31,"1,79 m",Morocco  France,right,30.06.2021
angel-montoro,"Jun 25, 1988",31,"1,80 m",Spain,right,30.06.2020
kenan-kodro,"Aug 19, 1993",26,"1,88 m",Bosnia-Herzegovina  Spain,right,30.06.2022
borja-iglesias,"Jan 17, 1993",26,"1,87 m",Spain,right,30.06.2024
djene,"Dec 31, 1991",27,"1,78 m",Togo,right,30.06.2023
brais-mendez,"Jan 7, 1997",22,"1,84 m",Spain,left,30.06.2021
mikel-balenziaga,"Feb 29, 1988",31,"1,77 m",Spain,left,30.06.2021
felipe,"May 16, 1989",30,"1,91 m",Brazil,right,30.06.2022
francis-guerrero,"Mar 11, 1996",23,"1,75 m",Spain,right,30.06.2023
gareth-bale,"Jul 16, 1989",30,"1,85 m",Wales,left,30.06.2022
yuri-berchiche,"Feb 10, 1990",29,"1,81 m",Spain,left,30.06.2022
victor-campuzano,"May 31, 1997",22,"1,74 m",Spain,left,30.06.2020
toni-kroos,"Jan 4, 1990",29,"1,83 m",Germany,right,30.06.2023
jasper-cillessen,"Apr 22, 1989",30,"1,87 m",Netherlands,right,30.06.2023
nacho-martinez,"Mar 7, 1989",30,"1,74 m",Spain,left,30.06.2022
michel,"Jul 29, 1988",31,"1,82 m",Spain,right,30.06.2020
brandon,"Feb 4, 1995",24,"1,73 m",Spain,right,30.06.2022
ximo-navarro,"Jan 23, 1990",29,"1,76 m",Spain,right,30.06.2021
fede-vico,"Jul 4, 1994",25,"1,77 m",Spain,left,30.06.2021
casemiro,"Feb 23, 1992",27,"1,85 m",Brazil  Spain,right,30.06.2021
rui-silva,"Feb 7, 1994",25,"1,91 m",Portugal,left,30.06.2021
takashi-inui,"Jun 2, 1988",31,"1,69 m",Japan,right,30.06.2022
javi-garcia,"Feb 8, 1987",32,"1,87 m",Spain,right,30.06.2021
jorge-de-frutos,"Feb 20, 1997",22,"1,73 m",Spain,right,30.06.2020
junior-firpo,"Aug 22, 1996",23,"1,84 m",Spain  Dominican Republic,left,30.06.2024
stiven-plaza,"Mar 11, 1999",20,"1,88 m",Ecuador,right,30.06.2023
