Player,DOB,Age,Height,Country,Foot,ContractExp
phillipp-mwene,"Jan 29, 1994",25,"1,70 m",Austria  Kenya,right,30.06.2021
ondrej-duda,"Dec 5, 1994",24,"1,81 m",Slovakia,right,-
edimilson-fernandes,"Apr 15, 1996",23,"1,90 m",Switzerland  Portugal,right,30.06.2023
makoto-hasebe,"Jan 18, 1984",35,"1,80 m",Japan,right,30.06.2020
brady-scott,"Jun 30, 1999",20,"1,87 m",United States,right,30.06.2021
arne-maier,"Jan 8, 1999",20,"1,86 m",Germany,right,30.06.2022
davie-selke,"Jan 20, 1995",24,"1,94 m",Germany,right,30.06.2022
christian-fruchtl,"Jan 28, 2000",19,"1,93 m",Germany,left,30.06.2020
ruben-vargas,"Aug 5, 1998",21,"1,74 m",Switzerland  Dominican Republic,right,30.06.2024
julian-baumgartlinger,"Jan 2, 1988",31,"1,84 m",Austria,right,30.06.2021
chang-hun-kwon,"Jun 30, 1994",25,"1,73 m","Korea, South",left,-
omar-mascarell,"Feb 2, 1993",26,"1,81 m",Spain,right,30.06.2022
iago,"Mar 23, 1997",22,"1,81 m",Brazil  Italy,left,30.06.2024
yvon-mvogo,"Jun 6, 1994",25,"1,86 m",Switzerland  Cameroon,right,30.06.2021
josh-sargent,"Feb 20, 2000",19,"1,85 m",United States,right,30.06.2022
amine-harit,"Jun 18, 1997",22,"1,79 m",Morocco  France,right,30.06.2021
milos-veljkovic,"Sep 26, 1995",24,"1,88 m",Serbia  Switzerland,both,30.06.2022
robin-knoche,"May 22, 1992",27,"1,90 m",Germany,right,30.06.2020
florian-niederlechner,"Oct 24, 1990",29,"1,87 m",Germany,left,30.06.2022
adrian-stanilewicz,"Feb 22, 2000",19,"1,81 m",Poland  Germany,NaN,30.06.2020
jonathan-de-guzman,"Sep 13, 1987",32,"1,73 m",Netherlands  Canada,right,30.06.2020
serge-gnabry,"Jul 14, 1995",24,"1,75 m",Germany  Cote d'Ivoire,right,30.06.2023
grischa-promel,"Jan 9, 1995",24,"1,84 m",Germany,both,30.06.2020
mamadou-doucoure,"May 21, 1998",21,"1,84 m",France  Senegal,left,30.06.2021
jerome-roussillon,"Jan 6, 1993",26,"1,75 m",France  Guadeloupe,left,30.06.2023
alexander-hack,"Sep 8, 1993",26,"1,93 m",Germany,left,30.06.2022
felix-uduokhai,"Sep 9, 1997",22,"1,92 m",Germany  Nigeria,left,30.06.2020
yunus-malli,"Feb 24, 1992",27,"1,79 m",Turkey  Germany,right,30.06.2021
ronael-pierre-gabriel,"Jun 13, 1998",21,"1,77 m",France,right,30.06.2024
paulinho,"Jul 15, 2000",19,"1,77 m",Brazil,right,30.06.2023
florian-kainz,"Oct 24, 1992",27,"1,75 m",Austria,right,30.06.2022
felix-gotze,"Feb 11, 1998",21,"1,85 m",Germany,right,30.06.2022
jerome-gondorf,"Jun 26, 1988",31,"1,76 m",Germany,right,30.06.2021
christoph-kramer,"Feb 19, 1991",28,"1,91 m",Germany,right,30.06.2021
simon-asta,"Jan 25, 2001",18,"1,78 m",Germany,NaN,30.06.2019
daniel-brosinski,"Jul 17, 1988",31,"1,78 m",Germany,right,30.06.2020
konrad-laimer,"May 27, 1997",22,"1,80 m",Austria,right,30.06.2021
mark-flekken,"Jun 13, 1993",26,"1,95 m",Netherlands,both,30.06.2022
charles-aranguiz,"Apr 17, 1989",30,"1,71 m",Chile,right,30.06.2020
dennis-geiger,"Jun 10, 1998",21,"1,72 m",Germany,right,30.06.2022
kevin-akpoguma,"Apr 19, 1995",24,"1,92 m",Germany  Nigeria,right,30.06.2021
andre-hoffmann,"Feb 28, 1993",26,"1,88 m",Germany,right,30.06.2023
havard-nordtveit,"Jun 21, 1990",29,"1,88 m",Norway,right,30.06.2022
louis-schaub,"Dec 29, 1994",24,"1,77 m",Austria  Germany,left,30.06.2022
michael-parensen,"Jun 24, 1986",33,"1,80 m",Germany,left,30.06.2020
jannik-huth,"Apr 15, 1994",25,"1,85 m",Germany,right,30.06.2022
corentin-tolisso,"Aug 3, 1994",25,"1,81 m",France  Togo,right,30.06.2022
lucas-torro,"Jul 19, 1994",25,"1,90 m",Spain,right,30.06.2023
maurice-covic,"Apr 17, 1998",21,"1,75 m",Germany  Croatia,both,30.06.2020
matheus-cunha,"May 27, 1999",20,"1,84 m",Brazil,right,30.06.2023
bastian-oczipka,"Jan 12, 1989",30,"1,85 m",Germany,left,30.06.2020
koen-casteels,"Jun 25, 1992",27,"1,97 m",Belgium,left,30.06.2021
sebastian-schonlau,"Aug 5, 1994",25,"1,85 m",Germany,right,30.06.2021
alexander-nubel,"Sep 30, 1996",23,"1,93 m",Germany,right,30.06.2020
sidney-friede,"Apr 12, 1998",21,"1,88 m",Germany,right,-
benjamin-stambouli,"Aug 13, 1990",29,"1,80 m",France  Algeria,right,30.06.2020
tom-krauss,"Jun 22, 2001",18,"1,82 m",Germany,right,30.06.2021
johannes-buhler,"Jul 26, 1997",22,"1,81 m",Germany,right,30.06.2021
marwin-hitz,"Sep 18, 1987",32,"1,94 m",Switzerland,right,30.06.2021
maximilian-arnold,"May 27, 1994",25,"1,84 m",Germany,left,30.06.2022
julio-villalba,"Sep 17, 1998",21,"1,76 m",Paraguay,right,-
raphael-guerreiro,"Dec 22, 1993",25,"1,70 m",Portugal  France,left,30.06.2023
nana-ampomah,"Jan 2, 1996",23,"1,75 m",Ghana,right,30.06.2022
niko-giesselmann,"Sep 26, 1991",28,"1,82 m",Germany,left,30.06.2020
karim-onisiwo,"Mar 17, 1992",27,"1,88 m",Austria,right,30.06.2022
thomas-delaney,"Sep 3, 1991",28,"1,82 m",Denmark  United States,left,30.06.2022
leandro-barreiro-martins,"Jan 3, 2000",19,"1,74 m",Luxembourg  Portugal,right,30.06.2022
streli-mamba,"Jun 17, 1994",25,"1,77 m",Germany  DR Congo,right,30.06.2022
zack-steffen,"Apr 2, 1995",24,"1,91 m",United States,right,30.06.2020
niklas-lomb,"Jul 28, 1993",26,"1,87 m",Germany,right,30.06.2020
jeffrey-gouweleeuw,"Jul 10, 1991",28,"1,87 m",Netherlands,right,30.06.2024
nils-petersen,"Dec 6, 1988",30,"1,88 m",Germany,right,30.06.2021
xaver-schlager,"Sep 28, 1997",22,"1,74 m",Austria,left,30.06.2023
ermin-bicakcic,"Jan 24, 1990",29,"1,85 m",Bosnia-Herzegovina  Germany,right,30.06.2022
per-ciljan-skjelbred,"Jun 16, 1987",32,"1,75 m",Norway,right,30.06.2020
maximilian-mittelstadt,"Mar 18, 1997",22,"1,80 m",Germany,left,30.06.2023
marcel-tisserand,"Jan 10, 1993",26,"1,90 m",DR Congo  France,right,30.06.2022
ihlas-bebou,"Apr 23, 1994",25,"1,85 m",Togo  Germany,right,30.06.2023
theodor-gebre-selassie,"Dec 24, 1986",32,"1,81 m",Czech Republic  Ethiopia,right,30.06.2021
elvis-rexhbecaj,"Nov 1, 1997",22,"1,82 m",Germany  Kosovo,left,30.06.2023
jerome-boateng,"Sep 3, 1988",31,"1,92 m",Germany,right,30.06.2021
jonathan-schmid,"Jun 22, 1990",29,"1,79 m",France,right,-
tim-wiesner,"Nov 21, 1996",22,"1,92 m",Germany,both,30.06.2020
admir-mehmedi,"Mar 16, 1991",28,"1,83 m",Switzerland  North Macedonia,right,30.06.2022
leon-goretzka,"Feb 6, 1995",24,"1,89 m",Germany,right,30.06.2022
philipp-tschauner,"Nov 3, 1985",34,"1,96 m",Germany,right,30.06.2021
kai-proger,"May 15, 1992",27,"1,77 m",Germany,right,30.06.2022
ishak-belfodil,"Jan 12, 1992",27,"1,91 m",Algeria  France,right,30.06.2022
alexandru-maxim,"Jul 8, 1990",29,"1,77 m",Romania,right,30.06.2021
mijat-gacinovic,"Feb 8, 1995",24,"1,75 m",Serbia  Bosnia-Herzegovina,right,30.06.2022
julian-albrecht,"Aug 31, 2001",18,"1,80 m",Germany,-,
robert-zulj,"Feb 5, 1992",27,"1,89 m",Austria  Croatia,right,30.06.2020
taiwo-awoniyi,"Aug 12, 1997",22,"1,83 m",Nigeria,right,30.06.2020
ismail-azzaoui,"Jan 6, 1998",21,"1,77 m",Belgium  Morocco,right,30.06.2020
danny-da-costa,"Jul 13, 1993",26,"1,87 m",Germany  Angola,right,30.06.2022
leonardo-balerdi,"Jan 26, 1999",20,"1,88 m",Argentina,right,30.06.2024
diego-demme,"Nov 21, 1991",27,"1,70 m",Germany  Italy,right,30.06.2021
suat-serdar,"Apr 11, 1997",22,"1,84 m",Germany  Turkey,right,30.06.2022
marko-grujic,"Apr 13, 1996",23,"1,91 m",Serbia,right,30.06.2020
luc-ihorst,"Mar 7, 2000",19,"1,90 m",Germany,both,30.06.2021
sargis-adamyan,"May 23, 1993",26,"1,84 m",Armenia,right,30.06.2022
eduard-lowen,"Jan 28, 1997",22,"1,88 m",Germany  Russia,right,-
john-anthony-brooks,"Jan 28, 1993",26,"1,93 m",United States  Germany,left,30.06.2022
dominique-heintz,"Aug 15, 1993",26,"1,90 m",Germany,left,30.06.2022
roland-sallai,"May 22, 1997",22,"1,83 m",Hungary,both,30.06.2022
max-grun,"Apr 5, 1987",32,"1,90 m",Germany,right,30.06.2020
marcel-schmelzer,"Jan 22, 1988",31,"1,80 m",Germany,left,30.06.2021
felix-klaus,"Sep 13, 1992",27,"1,79 m",Germany,right,30.06.2022
kingsley-schindler,"Jul 12, 1993",26,"1,83 m",Germany  Ghana,right,30.06.2023
timothy-chandler,"Mar 29, 1990",29,"1,86 m",United States  Germany,right,30.06.2022
yussuf-poulsen,"Jun 15, 1994",25,"1,93 m",Denmark  Tanzania,right,30.06.2022
jonjoe-kenny,"Mar 15, 1997",22,"1,76 m",England,right,30.06.2020
anthony-ujah,"Oct 14, 1990",29,"1,80 m",Nigeria,right,30.06.2022
jan-moravek,"Nov 1, 1989",30,"1,80 m",Czech Republic,right,30.06.2022
dawid-kownacki,"Mar 14, 1997",22,"1,86 m",Poland,right,30.06.2023
pavel-kaderabek,"Apr 25, 1992",27,"1,82 m",Czech Republic,right,30.06.2023
ramy-bensebaini,"Apr 16, 1995",24,"1,86 m",Algeria,left,30.06.2023
aleksandar-dragovic,"Mar 6, 1991",28,"1,86 m",Austria  Serbia,right,30.06.2021
lukas-nmecha,"Dec 14, 1998",20,"1,85 m",Germany  England,right,30.06.2020
milot-rashica,"Jun 28, 1996",23,"1,78 m",Kosovo  Albania,right,30.06.2022
leon-bruggemeier,"Aug 23, 1997",22,"1,92 m",Germany,both,30.06.2020
oscar-wendt,"Oct 24, 1985",34,"1,81 m",Sweden,left,30.06.2020
gerrit-holtmann,"Mar 25, 1995",24,"1,83 m",Germany,left,30.06.2020
joao-victor,"Mar 27, 1994",25,"1,78 m",Brazil,both,30.06.2023
eric-oelschlagel,"Sep 20, 1995",24,"1,93 m",Germany,right,30.06.2020
frederik-ronnow,"Aug 4, 1992",27,"1,90 m",Denmark,right,30.06.2022
daniel-caligiuri,"Jan 15, 1988",31,"1,82 m",Italy  Germany,right,30.06.2020
jonas-carls,"Mar 25, 1997",22,"1,79 m",Germany,left,30.06.2022
vedad-ibisevic,"Aug 6, 1984",35,"1,88 m",Bosnia-Herzegovina  United States,right,30.06.2020
ahmet-gurleyen,"Apr 26, 1999",20,"1,93 m",Germany  Turkey,right,30.06.2022
ibrahima-traore,"Apr 21, 1988",31,"1,72 m",Guinea  France,left,30.06.2021
maurice-malone,"Aug 17, 2000",19,"1,84 m",Germany  United States,left,30.06.2020
marius-bulter,"Mar 29, 1993",26,"1,88 m",Germany,right,30.06.2020
rifet-kapic,"Jul 3, 1995",24,"1,79 m",Bosnia-Herzegovina,left,30.06.2022
jean-zimmer,"Dec 6, 1993",25,"1,72 m",Germany,right,30.06.2022
jean-paul-boetius,"Mar 22, 1994",25,"1,78 m",Netherlands  Suriname,right,30.06.2022
marcel-hilssner,"Jan 30, 1995",24,"1,83 m",Germany,left,30.06.2021
lukas-klostermann,"Jun 3, 1996",23,"1,89 m",Germany,right,30.06.2021
stefan-lainer,"Aug 27, 1992",27,"1,75 m",Austria,right,30.06.2024
patrick-finger,"Jan 1, 2001",18,"1,66 m",Germany,left,30.06.2020
patrick-herrmann,"Feb 12, 1991",28,"1,79 m",Germany,right,30.06.2022
ellyes-skhiri,"May 10, 1995",24,"1,85 m",Tunisia  France,right,30.06.2023
simon-terodde,"Mar 2, 1988",31,"1,91 m",Germany,right,30.06.2021
josip-brekalo,"Jun 23, 1998",21,"1,80 m",Croatia,right,30.06.2023
marcus-ingvartsen,"Jan 4, 1996",23,"1,87 m",Denmark,left,30.06.2022
christian-clemens,"Aug 4, 1991",28,"1,79 m",Germany,right,30.06.2021
tyler-adams,"Feb 14, 1999",20,"1,76 m",United States,right,30.06.2023
amadou-haidara,"Jan 31, 1998",21,"1,75 m",Mali,right,30.06.2023
markus-schubert,"Jun 12, 1998",21,"1,87 m",Germany,right,30.06.2023
goncalo-paciencia,"Aug 1, 1994",25,"1,84 m",Portugal,right,30.06.2022
lucas-holer,"Jul 10, 1994",25,"1,84 m",Germany,right,30.06.2022
julian-krahl,"Jan 22, 2000",19,"1,94 m",Germany,right,30.06.2022
ibrahima-konate,"May 25, 1999",20,"1,93 m",France,right,30.06.2023
sven-michel,"Jul 15, 1990",29,"1,79 m",Germany,left,30.06.2021
mateu-morey,"Mar 2, 2000",19,"1,72 m",Spain,right,30.06.2024
robin-quaison,"Oct 9, 1993",26,"1,83 m",Sweden  Ghana,right,30.06.2021
pavao-pervan,"Nov 13, 1987",32,"1,94 m",Austria,both,30.06.2021
raphael-framberger,"Sep 6, 1995",24,"1,79 m",Germany,right,30.06.2024
fiete-arp,"Jan 6, 2000",19,"1,84 m",Germany,right,30.06.2024
vladimir-darida,"Aug 8, 1990",29,"1,72 m",Czech Republic,right,30.06.2021
jordan-torunarigha,"Aug 7, 1997",22,"1,91 m",Germany  Nigeria,left,-
andreas-luthe,"Mar 10, 1987",32,"1,95 m",Germany,right,30.06.2022
fabian-giefer,"May 17, 1990",29,"1,96 m",Germany,right,30.06.2021
finn-dahmen,"Mar 27, 1998",21,"1,88 m",Germany  England,right,30.06.2023
ivan-perisic,"Feb 2, 1989",30,"1,87 m",Croatia,both,30.06.2020
woo-yeong-jeong,"Sep 20, 1999",20,"1,79 m","Korea, South",right,-
muhammed-kiprit,"Jul 9, 1999",20,"1,82 m",Turkey  Germany,both,30.06.2021
levent-mercan,"Dec 10, 2000",18,"1,76 m",Germany,both,30.06.2023
almamy-toure,"Apr 28, 1996",23,"1,83 m",France  Mali,right,30.06.2023
malik-talabidi,"Jul 16, 2001",18,"1,84 m",Germany  Togo,right,30.06.2021
robert-skov,"May 20, 1996",23,"1,83 m",Denmark,left,30.06.2024
dominik-kohr,"Jan 31, 1994",25,"1,83 m",Germany,right,30.06.2024
frederik-jakel,"Mar 7, 2001",18,"1,93 m",Germany,right,30.06.2022
laszlo-benes,"Sep 9, 1997",22,"1,81 m",Slovakia,left,30.06.2021
luca-waldschmidt,"May 19, 1996",23,"1,81 m",Germany,left,30.06.2022
sergio-cordova,"Aug 9, 1997",22,"1,88 m",Venezuela,right,30.06.2022
aaron-martin,"Apr 22, 1997",22,"1,78 m",Spain,left,30.06.2023
sahverdi-cetin,"Sep 28, 2000",19,"1,74 m",Germany  Turkey,right,30.06.2020
marco-reus,"May 31, 1989",30,"1,80 m",Germany,right,30.06.2023
reece-oxford,"Dec 16, 1998",20,"1,90 m",England  Jamaica,right,30.06.2023
robin-bormuth,"Sep 19, 1995",24,"1,90 m",Germany,right,30.06.2020
lino-tempelmann,"Feb 2, 1999",20,"1,75 m",Germany,right,-
philippe-coutinho,"Jun 12, 1992",27,"1,72 m",Brazil  Portugal,right,30.06.2020
marco-russ,"Aug 4, 1985",34,"1,90 m",Germany,right,30.06.2020
ethan-ampadu,"Sep 14, 2000",19,"1,82 m",Wales  England,right,30.06.2020
noah-sarenren-bazee,"Aug 21, 1996",23,"1,83 m",Nigeria  Germany,right,30.06.2024
luca-unbehaun,"Feb 27, 2001",18,"1,86 m",Germany,right,30.06.2022
lennard-maloney,"Oct 8, 1999",20,"1,87 m",United States  Germany,right,30.06.2021
paulo-otavio,"Nov 23, 1994",24,"1,73 m",Brazil,left,30.06.2023
johannes-dorfler,"Aug 23, 1996",23,"1,86 m",Germany,right,30.06.2021
sheraldo-becker,"Feb 9, 1995",24,"1,80 m",Netherlands  Suriname,right,30.06.2023
tin-jedvaj,"Nov 28, 1995",23,"1,84 m",Croatia,right,30.06.2020
carlos-gruezo,"Apr 19, 1995",24,"1,71 m",Ecuador,right,30.06.2024
khiry-shelton,"Jun 26, 1993",26,"1,91 m",United States,,30.06.2021
uwe-hunemeier,"Jan 9, 1986",33,"1,89 m",Germany,right,30.06.2020
robert-andrich,"Sep 22, 1994",25,"1,87 m",Germany,right,30.06.2022
gelson-fernandes,"Sep 2, 1986",33,"1,80 m",Switzerland  Cape Verde,right,30.06.2020
andrej-kramaric,"Jun 19, 1991",28,"1,77 m",Croatia,right,30.06.2022
konstantinos-stafylidis,"Dec 2, 1993",25,"1,78 m",Greece,left,30.06.2023
mads-pedersen,"Sep 1, 1996",23,"1,74 m",Denmark,left,30.06.2024
marcel-halstenberg,"Sep 27, 1991",28,"1,86 m",Germany,left,30.06.2022
thomas-kraft,"Jul 22, 1988",31,"1,87 m",Germany,right,30.06.2020
mats-hummels,"Dec 16, 1988",30,"1,91 m",Germany,right,30.06.2022
tobias-raschl,"Feb 21, 2000",19,"1,77 m",Germany,right,30.06.2022
jakob-busk,"Sep 12, 1993",26,"1,89 m",Denmark,right,30.06.2020
renato-steffen,"Nov 3, 1991",28,"1,70 m",Switzerland,left,30.06.2021
laurent-jans,"Aug 5, 1992",27,"1,78 m",Luxembourg,right,30.06.2020
marek-suchy,"Mar 29, 1988",31,"1,83 m",Czech Republic,right,30.06.2021
javi-martinez,"Sep 2, 1988",31,"1,92 m",Spain,right,30.06.2021
wout-weghorst,"Aug 7, 1992",27,"1,97 m",Netherlands,right,30.06.2023
adam-szalai,"Dec 9, 1987",31,"1,93 m",Hungary,right,30.06.2021
lars-stindl,"Aug 26, 1988",31,"1,80 m",Germany,right,30.06.2021
thorgan-hazard,"Mar 29, 1993",26,"1,74 m",Belgium,right,30.06.2024
raphael-wolf,"Jun 6, 1988",31,"1,90 m",Germany,right,30.06.2021
juan-miranda,"Jan 19, 2000",19,"1,85 m",Spain,left,30.06.2021
jonathan-burkardt,"Jul 11, 2000",19,"1,81 m",Germany,right,30.06.2022
jonas-hofmann,"Jul 14, 1992",27,"1,76 m",Germany,right,30.06.2023
kerem-demirbay,"Jul 3, 1993",26,"1,82 m",Germany  Turkey,left,30.06.2024
marvin-plattenhardt,"Jan 26, 1992",27,"1,81 m",Germany,left,30.06.2023
ludwig-augustinsson,"Apr 21, 1994",25,"1,81 m",Sweden,left,30.06.2022
jozo-stanic,"Apr 6, 1999",20,"1,84 m",Croatia  Germany,right,30.06.2022
kingsley-ehizibue,"May 25, 1995",24,"1,89 m",Netherlands  Nigeria,right,30.06.2023
emil-forsberg,"Oct 23, 1991",28,"1,79 m",Sweden,right,30.06.2022
timo-horn,"May 12, 1993",26,"1,92 m",Germany,left,30.06.2023
cauly,"Sep 15, 1995",24,"1,75 m",Brazil  Germany,both,30.06.2021
laurenz-dehl,"Dec 12, 2001",17,"1,79 m",Germany,NaN,30.06.2021
danny-latza,"Dec 7, 1989",29,"1,79 m",Germany,right,30.06.2021
vincent-koziello,"Oct 28, 1995",24,"1,68 m",France  Poland,right,30.06.2022
adam-bodzek,"Sep 7, 1985",34,"1,84 m",Poland  Germany,right,30.06.2020
nassim-boujellab,"Jun 20, 1999",20,"1,81 m",Morocco  Germany,both,30.06.2022
klaus-gjasula,"Dec 14, 1989",29,"1,92 m",Albania  Germany,both,30.06.2020
jordan-beyer,"May 19, 2000",19,"1,87 m",Germany,right,30.06.2022
florian-muller,"Nov 13, 1997",22,"1,92 m",Germany,left,30.06.2022
niklas-tauer,"Feb 17, 2001",18,NaN,Germany,right,30.06.2023
david-alaba,"Jun 24, 1992",27,"1,80 m",Austria,left,30.06.2021
luan-candido,"Feb 2, 2001",18,"1,87 m",Brazil,left,30.06.2023
niklas-klinger,"Oct 13, 1995",24,"1,87 m",Germany,right,30.06.2020
manuel-schmiedebach,"Dec 5, 1988",30,"1,71 m",Germany,right,30.06.2021
felix-kroos,"Mar 12, 1991",28,"1,84 m",Germany,right,30.06.2020
jonathan-meier,"Nov 11, 1999",20,"1,81 m",Germany,left,30.06.2022
nicolas-hofler,"Mar 9, 1990",29,"1,81 m",Germany,right,30.06.2021
raffael,"Mar 28, 1985",34,"1,74 m",Brazil,right,30.06.2020
rani-khedira,"Jan 27, 1994",25,"1,88 m",Germany  Tunisia,right,30.06.2021
simon-falette,"Feb 19, 1992",27,"1,85 m",Guinea  France,left,30.06.2021
kenan-karaman,"Mar 5, 1994",25,"1,89 m",Turkey  Germany,right,30.06.2021
julian-schieber,"Feb 13, 1989",30,"1,86 m",Germany,left,30.06.2021
diadie-samassekou,"Jan 11, 1996",23,"1,77 m",Mali,right,30.06.2024
christopher-trimmel,"Feb 24, 1987",32,"1,89 m",Austria,right,30.06.2020
thomas-muller,"Sep 13, 1989",30,"1,86 m",Germany,right,30.06.2021
marcel-risse,"Dec 17, 1989",29,"1,83 m",Germany,right,30.06.2022
kevin-kampl,"Oct 9, 1990",29,"1,78 m",Slovenia,right,30.06.2021
fredrik-jensen,"Sep 9, 1997",22,"1,83 m",Finland,right,30.06.2023
tobias-sippel,"Mar 22, 1988",31,"1,80 m",Germany,right,30.06.2021
mario-gotze,"Jun 3, 1992",27,"1,76 m",Germany,right,30.06.2020
leopold-zingerle,"Apr 10, 1994",25,"1,85 m",Germany,right,30.06.2021
benno-schmitz,"Nov 17, 1994",24,"1,82 m",Germany,right,30.06.2022
steven-skrzybski,"Nov 18, 1992",26,"1,74 m",Germany,right,30.06.2021
panagiotis-retsos,"Aug 9, 1998",21,"1,86 m",Greece,right,30.06.2022
luca-plogmann,"Mar 10, 2000",19,"1,89 m",Germany,both,30.06.2021
