Player,DOB,Age,Height,Country,Foot,ContractExp
nathaniel-clyne,"Apr 5, 1991",28,"1,75 m",England  Grenada,right,30.06.2020
dennis-srbeny,"May 5, 1994",25,"1,90 m",Germany,right,30.06.2021
maya-yoshida,"Aug 24, 1988",31,"1,89 m",Japan,right,30.06.2020
artur-boruc,"Feb 20, 1980",39,"1,93 m",Poland,right,30.06.2020
conor-hourihane,"Feb 2, 1991",28,"1,81 m",Ireland,left,-
christian-fuchs,"Apr 7, 1986",33,"1,87 m",Austria,left,30.06.2020
winston-reid,"Jul 3, 1988",31,"1,91 m",New Zealand  Denmark,right,30.06.2023
angelo-ogbonna,"May 23, 1988",31,"1,91 m",Italy  Nigeria,left,30.06.2022
emil-krafth,"Aug 2, 1994",25,"1,84 m",Sweden,right,30.06.2023
rui-patricio,"Feb 15, 1988",31,"1,90 m",Portugal,left,30.06.2022
christian-kabasele,"Feb 24, 1991",28,"1,87 m",Belgium  DR Congo,right,30.06.2021
kiko-femenia,"Feb 2, 1991",28,"1,71 m",Spain,right,30.06.2021
michy-batshuayi,"Oct 2, 1993",26,"1,84 m",Belgium  DR Congo,right,30.06.2021
kevin-de-bruyne,"Jun 28, 1991",28,"1,81 m",Belgium,right,30.06.2023
bruno-jordao,"Oct 12, 1998",21,"1,80 m",Portugal,right,30.06.2024
pontus-dahlberg,"Jan 21, 1999",20,"1,95 m",Sweden,right,30.06.2023
deandre-yedlin,"Jul 9, 1993",26,"1,73 m",United States  Latvia,right,30.06.2021
ruben-neves,"Mar 13, 1997",22,"1,80 m",Portugal,right,30.06.2023
steve-cook,"Apr 19, 1991",28,"1,85 m",England,right,30.06.2021
kieran-tierney,"Jun 5, 1997",22,"1,78 m",Scotland  Isle of Man,left,30.06.2024
lucas-torreira,"Feb 11, 1996",23,"1,66 m",Uruguay  Spain,right,30.06.2023
alexandre-lacazette,"May 28, 1991",28,"1,76 m",France  Guadeloupe,right,30.06.2022
muhamed-besic,"Sep 10, 1992",27,"1,80 m",Bosnia-Herzegovina  Germany,right,31.05.2020
neil-taylor,"Feb 7, 1989",30,"1,76 m",Wales,left,30.06.2021
mason-greenwood,"Oct 1, 2001",18,"1,81 m",England,left,30.06.2023
federico-fernandez,"Feb 21, 1989",30,"1,90 m",Argentina  Italy,right,30.06.2020
shkodran-mustafi,"Apr 17, 1992",27,"1,84 m",Germany  Albania,right,30.06.2021
joe-gomez,"May 23, 1997",22,"1,88 m",England  The Gambia,right,30.06.2024
carlos-sanchez,"Feb 6, 1986",33,"1,82 m",Colombia,left,30.06.2020
toby-alderweireld,"Mar 2, 1989",30,"1,86 m",Belgium,right,30.06.2020
marc-albrighton,"Nov 18, 1989",29,"1,75 m",England,right,30.06.2022
karl-darlow,"Oct 8, 1990",29,"1,90 m",England  Wales,right,30.06.2020
antonio-rudiger,"Mar 3, 1993",26,"1,90 m",Germany  Sierra Leone,right,30.06.2022
oleksandr-zinchenko,"Dec 15, 1996",22,"1,75 m",Ukraine,left,30.06.2024
tim-krul,"Apr 3, 1988",31,"1,93 m",Netherlands,left,30.06.2022
christian-eriksen,"Feb 14, 1992",27,"1,82 m",Denmark,both,30.06.2020
jannik-vestergaard,"Aug 3, 1992",27,"1,99 m",Denmark  Germany,both,30.06.2022
matteo-guendouzi,"Apr 14, 1999",20,"1,84 m",France  Morocco,right,30.06.2022
jean-philippe-gbamin,"Sep 25, 1995",24,"1,86 m",Cote d'Ivoire  France,right,30.06.2024
douglas-luiz,"May 9, 1998",21,"1,78 m",Brazil,right,30.06.2023
martin-dubravka,"Jan 15, 1989",30,"1,91 m",Slovakia,right,30.06.2025
jota,"Jun 16, 1991",28,"1,80 m",Spain,left,30.06.2021
leon-balogun,"Jun 28, 1988",31,"1,90 m",Nigeria  Germany,right,30.06.2020
jamaal-lascelles,"Nov 11, 1993",26,"1,88 m",England,right,30.06.2024
harry-burgoyne,"Dec 28, 1996",22,"1,93 m",England,right,30.06.2020
mason-mount,"Jan 10, 1999",20,"1,78 m",England,right,30.06.2024
john-lundstram,"Feb 18, 1994",25,"1,81 m",England,left,30.06.2020
maarten-stekelenburg,"Sep 22, 1982",37,"1,97 m",Netherlands,right,30.06.2020
chris-wood,"Dec 7, 1991",27,"1,91 m",New Zealand,right,30.06.2023
kasper-schmeichel,"Nov 5, 1986",33,"1,89 m",Denmark,right,30.06.2023
oumar-niasse,"Apr 18, 1990",29,"1,82 m",Senegal,right,30.06.2020
felipe-anderson,"Apr 15, 1993",26,"1,75 m",Brazil,right,30.06.2022
cuco-martina,"Sep 25, 1989",30,"1,85 m",Curacao  Netherlands,right,30.06.2020
angus-gunn,"Jan 22, 1996",23,"1,96 m",England  Scotland,right,30.06.2023
fabian-schar,"Dec 20, 1991",27,"1,86 m",Switzerland,right,30.06.2021
angelino,"Jan 4, 1997",22,"1,75 m",Spain,left,30.06.2023
hector-bellerin,"Mar 19, 1995",24,"1,78 m",Spain,right,30.06.2023
kepa,"Oct 3, 1994",25,"1,86 m",Spain,right,30.06.2025
jonny-evans,"Jan 3, 1988",31,"1,88 m",Northern Ireland,both,30.06.2021
james-milner,"Jan 4, 1986",33,"1,75 m",England,right,30.06.2020
mesut-ozil,"Oct 15, 1988",31,"1,80 m",Germany,left,30.06.2021
sergio-romero,"Feb 22, 1987",32,"1,92 m",Argentina  Italy,right,30.06.2021
marcos-rojo,"Mar 20, 1990",29,"1,86 m",Argentina,left,30.06.2021
goncalo-cardoso,"Oct 21, 2000",19,"1,89 m",Portugal,left,30.06.2024
oliver-skipp,"Sep 16, 2000",19,"1,75 m",England,right,30.06.2021
fabian-balbuena,"Aug 23, 1991",28,"1,88 m",Paraguay,right,30.06.2021
pierre-emile-hojbjerg,"Aug 5, 1995",24,"1,85 m",Denmark  France,right,30.06.2021
matt-targett,"Sep 18, 1995",24,"1,83 m",England  Scotland,left,-
james-maddison,"Nov 23, 1996",22,"1,75 m",England,right,30.06.2023
matt-macey,"Sep 9, 1994",25,"1,99 m",England,right,30.06.2020
che-adams,"Jul 13, 1996",23,"1,79 m",England  Antigua and Barbuda,right,30.06.2024
djibril-sidibe,"Jul 29, 1992",27,"1,82 m",France  Mali,right,30.06.2020
christian-benteke,"Dec 3, 1990",28,"1,90 m",Belgium  DR Congo,right,30.06.2021
jed-steer,"Sep 23, 1992",27,"1,82 m",England  Scotland,left,30.06.2023
dimitri-foulquier,"Mar 23, 1993",26,"1,83 m",Guadeloupe  France,right,30.06.2021
lloyd-kelly,"Oct 6, 1998",21,"1,90 m",England,left,-
miguel-almiron,"Feb 10, 1994",25,"1,74 m",Paraguay,left,30.06.2024
chris-basham,"Jul 20, 1988",31,"1,90 m",England,right,30.06.2021
christian-atsu,"Jan 10, 1992",27,"1,65 m",Ghana,left,30.06.2021
roberto-firmino,"Oct 2, 1991",28,"1,81 m",Brazil,right,30.06.2023
ibrahim-amadou,"Apr 6, 1993",26,"1,83 m",France  Cameroon,right,30.06.2020
keinan-davis,"Feb 13, 1998",21,"1,78 m",England,right,30.06.2020
daniel-bachmann,"Jul 9, 1994",25,"1,91 m",Austria,right,30.06.2020
jack-wilshere,"Jan 1, 1992",27,"1,72 m",England,left,30.06.2021
cedric-soares,"Aug 31, 1991",28,"1,71 m",Portugal  Germany,right,30.06.2020
heung-min-son,"Jul 8, 1992",27,"1,84 m","Korea, South",both,30.06.2023
beni-baningime,"Sep 9, 1998",21,NaN,DR Congo  England,NaN,30.06.2022
lucas-digne,"Jul 20, 1993",26,"1,78 m",France,left,30.06.2023
konstantinos-mavropanos,"Dec 11, 1997",21,"1,94 m",Greece,right,30.06.2023
joshua-king,"Jan 15, 1992",27,"1,81 m",Norway,right,30.06.2021
dele-alli,"Apr 11, 1996",23,"1,88 m",England  Nigeria,right,30.06.2024
dan-burn,"May 9, 1992",27,"2,01 m",England,left,30.06.2022
dwight-mcneil,"Nov 22, 1999",19,"1,83 m",England,left,30.06.2023
fernandinho,"May 4, 1985",34,"1,79 m",Brazil,right,30.06.2020
bernardo,"May 14, 1995",24,"1,86 m",Brazil,left,30.06.2022
max-kilman,"May 23, 1997",22,"1,92 m",England,left,30.06.2020
james-justin,"Feb 23, 1998",21,"1,83 m",England,right,30.06.2024
gabriel-martinelli,"Jun 18, 2001",18,"1,80 m",Brazil  Italy,right,30.06.2024
aaron-ramsdale,"May 14, 1998",21,"1,88 m",England,right,-
andreas-christensen,"Apr 10, 1996",23,"1,88 m",Denmark,right,30.06.2022
issa-diop,"Jan 9, 1997",22,"1,94 m",France  Senegal,right,30.06.2023
ruben-loftus-cheek,"Jan 23, 1996",23,"1,91 m",England,right,30.06.2024
moussa-djenepo,"Jun 15, 1998",21,"1,77 m",Mali,right,30.06.2023
bartosz-kapustka,"Dec 23, 1996",22,"1,79 m",Poland,right,30.06.2021
alisson,"Oct 2, 1992",27,"1,91 m",Brazil,right,30.06.2024
leon-clarke,"Feb 10, 1985",34,"1,88 m",England,right,30.06.2020
jack-grealish,"Sep 10, 1995",24,"1,75 m",England  Ireland,right,30.06.2023
kenny-mclean,"Jan 8, 1992",27,"1,80 m",Scotland,left,30.06.2021
marco-van-ginkel,"Dec 1, 1992",26,"1,86 m",Netherlands,right,30.06.2020
stephen-henderson,"May 2, 1988",31,"1,88 m",Ireland,right,30.06.2020
reece-james,"Dec 8, 1999",19,"1,82 m",England,right,30.06.2022
lukasz-fabianski,"Apr 18, 1985",34,"1,90 m",Poland,right,30.06.2021
ryan-bennett,"Mar 6, 1990",29,"1,88 m",England,right,30.06.2021
oliver-norwood,"Apr 12, 1991",28,"1,75 m",Northern Ireland  England,right,30.06.2021
jordan-ayew,"Sep 11, 1991",28,"1,82 m",Ghana  France,right,30.06.2022
simon-moore,"May 19, 1990",29,"1,91 m",England,right,30.06.2021
harry-winks,"Feb 2, 1996",23,"1,78 m",England,right,30.06.2024
david-martin,"Jan 22, 1986",33,"1,88 m",England,right,30.06.2021
lewis-dunk,"Nov 21, 1991",27,"1,92 m",England,right,30.06.2023
ezequiel-schelotto,"May 23, 1989",30,"1,87 m",Italy  Argentina,right,30.06.2020
sung-yong-ki,"Jan 24, 1989",30,"1,89 m","Korea, South",right,30.06.2020
jack-stacey,"Apr 6, 1996",23,"1,80 m",England,right,30.06.2023
ben-gibson,"Jan 15, 1993",26,"1,85 m",England,left,30.06.2022
pablo-fornals,"Feb 22, 1996",23,"1,78 m",Spain,right,30.06.2024
adam-webster,"Jan 4, 1995",24,"1,90 m",England,right,30.06.2023
jamie-vardy,"Jan 11, 1987",32,"1,79 m",England,right,30.06.2022
ben-foster,"Apr 3, 1983",36,"1,93 m",England,right,30.06.2020
eric-dier,"Jan 15, 1994",25,"1,88 m",England  Portugal,right,30.06.2021
michael-keane,"Jan 11, 1993",26,"1,88 m",England  Ireland,right,30.06.2022
fred,"Mar 5, 1993",26,"1,69 m",Brazil,left,30.06.2023
ming-yang-yang,"Jul 11, 1995",24,"1,72 m",Switzerland  China,right,-
caglar-soyuncu,"May 23, 1996",23,"1,87 m",Turkey,right,30.06.2023
heurelho-gomes,"Feb 15, 1981",38,"1,91 m",Brazil,right,30.06.2020
bjorn-engels,"Sep 15, 1994",25,"1,94 m",Belgium,right,30.06.2024
richarlison,"May 10, 1997",22,"1,79 m",Brazil,right,30.06.2023
adama-traore,"Jan 25, 1996",23,"1,78 m",Spain  Mali,right,30.06.2023
bernd-leno,"Mar 4, 1992",27,"1,89 m",Germany,right,30.06.2023
andros-townsend,"Jul 16, 1991",28,"1,81 m",England,left,30.06.2021
todd-cantwell,"Feb 27, 1998",21,"1,77 m",England,right,30.06.2022
aaron-mooy,"Sep 15, 1990",29,"1,79 m",Australia  Netherlands,right,31.05.2020
pedro,"Jul 28, 1987",32,"1,67 m",Spain,both,30.06.2020
james-ward-prowse,"Nov 1, 1994",25,"1,77 m",England,right,30.06.2022
yves-bissouma,"Aug 30, 1996",23,"1,82 m",Mali  Cote d'Ivoire,right,30.06.2023
davy-propper,"Sep 2, 1991",28,"1,85 m",Netherlands,right,30.06.2021
patrick-roberts,"Feb 5, 1997",22,"1,67 m",England,left,30.06.2022
paulo-gazzaniga,"Jan 2, 1992",27,"1,95 m",Argentina  Italy,right,30.06.2022
joel-ward,"Oct 29, 1989",30,"1,86 m",England,right,30.06.2021
ralf-fahrmann,"Sep 27, 1988",31,"1,97 m",Germany,right,30.06.2020
sam-byram,"Sep 16, 1993",26,"1,83 m",England,right,30.06.2023
cheikhou-kouyate,"Dec 21, 1989",29,"1,89 m",Senegal  Belgium,right,30.06.2022
shane-duffy,"Jan 1, 1992",27,"1,93 m",Ireland  Northern Ireland,right,30.06.2023
yerry-mina,"Sep 23, 1994",25,"1,95 m",Colombia,right,30.06.2023
joelinton,"Aug 14, 1996",23,"1,86 m",Brazil,right,30.06.2025
joe-hart,"Apr 19, 1987",32,"1,96 m",England,right,30.06.2020
martin-montoya,"Apr 14, 1991",28,"1,75 m",Spain,right,30.06.2022
xherdan-shaqiri,"Oct 10, 1991",28,"1,69 m",Switzerland  Kosovo,left,30.06.2023
oriol-romeu,"Sep 24, 1991",28,"1,83 m",Spain,right,30.06.2021
eric-bailly,"Apr 12, 1994",25,"1,87 m",Cote d'Ivoire,right,30.06.2020
dejan-lovren,"Jul 5, 1989",30,"1,88 m",Croatia,right,30.06.2021
kelechi-iheanacho,"Oct 3, 1996",23,"1,85 m",Nigeria,left,30.06.2022
pierre-emerick-aubameyang,"Jun 18, 1989",30,"1,87 m",Gabon  France,right,30.06.2021
callum-wilson,"Feb 27, 1992",27,"1,80 m",England  Ireland,right,30.06.2023
fabian-delph,"Nov 21, 1989",29,"1,74 m",England  Guyana,left,30.06.2022
andrew-crofts,"May 29, 1984",35,"1,75 m",Wales  England,right,30.06.2021
joao-moutinho,"Sep 8, 1986",33,"1,70 m",Portugal,right,30.06.2020
jonjo-shelvey,"Feb 27, 1992",27,"1,84 m",England,right,30.06.2021
john-ruddy,"Oct 24, 1986",33,"1,92 m",England,left,30.06.2020
luka-milivojevic,"Apr 7, 1991",28,"1,86 m",Serbia,right,30.06.2023
adam-masina,"Jan 2, 1994",25,"1,91 m",Italy  Morocco,left,30.06.2023
theo-walcott,"Mar 16, 1989",30,"1,75 m",England,both,30.06.2021
kevin-long,"Aug 18, 1990",29,"1,88 m",Ireland,right,30.06.2021
patrick-cutrone,"Jan 3, 1998",21,"1,83 m",Italy,right,30.06.2023
domingos-quina,"Nov 18, 1999",19,"1,73 m",Portugal  Guinea-Bissau,right,30.06.2022
caoimhin-kelleher,"Nov 23, 1998",20,"1,88 m",Ireland,NaN,-
leighton-baines,"Dec 11, 1984",34,"1,70 m",England,left,30.06.2020
jairo-riedewald,"Sep 9, 1996",23,"1,82 m",Netherlands  Suriname,left,30.06.2022
nick-pope,"Apr 19, 1992",27,"1,97 m",England,right,30.06.2023
gabriel-jesus,"Apr 3, 1997",22,"1,75 m",Brazil,right,30.06.2023
ashley-westwood,"Apr 1, 1990",29,"1,74 m",England,right,30.06.2020
isaac-hayden,"Mar 22, 1995",24,"1,86 m",England  Jamaica,right,30.06.2021
david-button,"Feb 27, 1989",30,"1,91 m",England,right,30.06.2021
jeffrey-schlupp,"Dec 23, 1992",26,"1,78 m",Ghana  Germany,left,30.06.2021
billy-sharp,"Feb 5, 1986",33,"1,75 m",England,right,30.06.2021
leander-dendoncker,"Apr 15, 1995",24,"1,88 m",Belgium,right,-
jesse-lingard,"Dec 15, 1992",26,"1,74 m",England,right,30.06.2021
sofiane-boufal,"Sep 17, 1993",26,"1,75 m",Morocco  France,right,30.06.2021
johann-berg-gudmundsson,"Oct 27, 1990",29,"1,86 m",Iceland,left,30.06.2021
david-luiz,"Apr 22, 1987",32,"1,89 m",Brazil  Portugal,right,30.06.2021
wilfred-ndidi,"Dec 16, 1996",22,"1,83 m",Nigeria,right,30.06.2024
joe-willock,"Aug 20, 1999",20,"1,79 m",England  Montserrat,right,-
martin-kelly,"Apr 27, 1990",29,"1,91 m",England,right,30.06.2021
fikayo-tomori,"Dec 19, 1997",21,"1,84 m",England  Canada,right,30.06.2021
alex-oxlade-chamberlain,"Aug 15, 1993",26,"1,75 m",England,right,30.06.2023
andy-carroll,"Jan 6, 1989",30,"1,93 m",England,left,30.06.2020
kurt-zouma,"Oct 27, 1994",25,"1,90 m",France  Central African Republic,right,30.06.2023
aaron-cresswell,"Dec 15, 1989",29,"1,70 m",England,left,30.06.2023
michael-mcgovern,"Jul 12, 1984",35,"1,90 m",Northern Ireland,right,30.06.2021
james-chester,"Jan 23, 1989",30,"1,77 m",Wales  England,right,30.06.2020
chris-mepham,"Nov 5, 1997",22,"1,91 m",Wales  England,NaN,30.06.2023
ainsley-maitland-niles,"Aug 29, 1997",22,"1,80 m",England,right,30.06.2023
timm-klose,"May 9, 1988",31,"1,95 m",Switzerland  Germany,right,30.06.2022
fabinho,"Oct 23, 1993",26,"1,88 m",Brazil,right,30.06.2023
orjan-nyland,"Sep 10, 1990",29,"1,92 m",Norway,right,30.06.2021
steven-alzate,"Sep 8, 1998",21,"1,80 m",Colombia  England,right,30.06.2023
robert-snodgrass,"Sep 7, 1987",32,"1,82 m",Scotland,left,30.06.2021
ross-barkley,"Dec 5, 1993",25,"1,85 m",England,right,30.06.2023
ben-mee,"Sep 21, 1989",30,"1,80 m",England,left,30.06.2021
michael-hector,"Jul 19, 1992",27,"1,93 m",Jamaica  England,right,30.06.2020
dennis-praet,"May 14, 1994",25,"1,81 m",Belgium,right,30.06.2024
wilfried-zaha,"Nov 10, 1992",27,"1,80 m",Cote d'Ivoire  England,right,30.06.2023
scott-carson,"Sep 3, 1985",34,"1,88 m",England,right,31.05.2020
naby-keita,"Feb 10, 1995",24,"1,72 m",Guinea,right,30.06.2023
mark-noble,"May 8, 1987",32,"1,80 m",England  Ireland,right,30.06.2021
neal-maupay,"Aug 14, 1996",23,"1,73 m",France  Argentina,right,30.06.2023
gylfi-sigurdsson,"Sep 8, 1989",30,"1,86 m",Iceland,right,30.06.2022
ayoze-perez,"Jul 29, 1993",26,"1,78 m",Spain,right,30.06.2023
sepp-van-den-berg,"Dec 20, 2001",17,"1,89 m",Netherlands,right,-
eldin-jakupovic,"Oct 2, 1984",35,"1,91 m",Switzerland  Bosnia-Herzegovina,right,30.06.2020
tom-heaton,"Apr 15, 1986",33,"1,88 m",England,right,-
sadio-mane,"Apr 10, 1992",27,"1,74 m",Senegal,right,30.06.2023
benjamin-mendy,"Jul 17, 1994",25,"1,85 m",France  Senegal,left,30.06.2023
robbie-brady,"Jan 14, 1992",27,"1,76 m",Ireland,left,30.06.2020
craig-cathcart,"Feb 6, 1989",30,"1,89 m",Northern Ireland,right,30.06.2023
sergio-aguero,"Jun 2, 1988",31,"1,73 m",Argentina  Spain,right,30.06.2021
tom-davies,"Jun 30, 1998",21,"1,80 m",England,right,30.06.2023
philip-heise,"Jun 20, 1991",28,"1,84 m",Germany,left,30.06.2022
gerard-deulofeu,"Mar 13, 1994",25,"1,77 m",Spain,right,30.06.2023
leroy-sane,"Jan 11, 1996",23,"1,84 m",Germany  France,left,30.06.2021
morgan-schneiderlin,"Nov 8, 1989",30,"1,86 m",France,right,30.06.2021
wayne-hennessey,"Jan 24, 1987",32,"1,97 m",Wales,right,30.06.2021
isaac-success,"Jan 7, 1996",23,"1,82 m",Nigeria,right,30.06.2023
matt-doherty,"Jan 16, 1992",27,"1,86 m",Ireland,right,30.06.2023
max-aarons,"Jan 4, 2000",19,"1,78 m",England,right,30.06.2024
lys-mousset,"Feb 8, 1996",23,"1,84 m",France  Senegal,right,30.06.2022
joao-cancelo,"May 27, 1994",25,"1,82 m",Portugal,right,30.06.2025
abdoulaye-doucoure,"Jan 1, 1993",26,"1,83 m",France  Mali,right,30.06.2023
phil-ofosu-ayeh,"Sep 15, 1991",28,"1,81 m",Ghana  Germany,right,30.06.2020
allan-saint-maximin,"Mar 12, 1997",22,"1,73 m",France  Guadeloupe,right,30.06.2025
ryan-fredericks,"Oct 10, 1992",27,"1,81 m",England  Guyana,right,30.06.2022
danny-ings,"Jul 23, 1992",27,"1,78 m",England,right,30.06.2022
juan-mata,"Apr 28, 1988",31,"1,70 m",Spain,left,30.06.2021
tom-dele-bashiru,"Sep 17, 1999",20,"1,79 m",Nigeria  England,right,30.06.2025
jose-izquierdo,"Jul 7, 1992",27,"1,71 m",Colombia,right,30.06.2021
ilkay-gundogan,"Oct 24, 1990",29,"1,80 m",Germany,right,30.06.2023
charlie-taylor,"Sep 18, 1993",26,"1,76 m",England,left,30.06.2021
kortney-hause,"Jul 16, 1995",24,"1,91 m",England,left,-
troy-deeney,"Jun 29, 1988",31,"1,84 m",England  Jamaica,right,30.06.2021
sead-kolasinac,"Jun 20, 1993",26,"1,83 m",Bosnia-Herzegovina  Germany,left,30.06.2022
ricky-holmes,"Jun 20, 1987",32,"1,88 m",England,NaN,30.06.2020
marco-stiepermann,"Feb 9, 1991",28,"1,90 m",Germany,left,30.06.2022
morgan-gibbs-white,"Jan 27, 2000",19,"1,71 m",England,right,30.06.2022
michael-verrips,"Dec 3, 1996",22,"1,96 m",Netherlands,right,30.06.2023
juan-foyth,"Jan 12, 1998",21,"1,87 m",Argentina  Spain,right,30.06.2022
moritz-leitner,"Dec 8, 1992",26,"1,74 m",Germany  Austria,right,30.06.2022
willy-boly,"Feb 3, 1991",28,"1,95 m",France  Cote d'Ivoire,right,30.06.2021
arthur-masuaku,"Nov 7, 1993",26,"1,79 m",DR Congo  France,left,30.06.2024
kyle-walker-peters,"Apr 13, 1997",22,"1,73 m",England,right,30.06.2023
victor-wanyama,"Jun 25, 1991",28,"1,84 m",Kenya,right,30.06.2021
john-fleck,"Aug 24, 1991",28,"1,69 m",Scotland,left,30.06.2021
nicolas-pepe,"May 29, 1995",24,"1,83 m",Cote d'Ivoire  France,left,30.06.2024
riyad-mahrez,"Feb 21, 1991",28,"1,79 m",Algeria  France,left,30.06.2023
george-baldock,"Jan 26, 1993",26,"1,78 m",England,right,30.06.2022
pablo-zabaleta,"Jan 16, 1985",34,"1,76 m",Argentina  Spain,right,30.06.2020
jonathan-kodjia,"Oct 22, 1989",30,"1,89 m",Cote d'Ivoire  France,right,30.06.2020
ahmed-elmohamady,"Sep 9, 1987",32,"1,82 m",Egypt,right,30.06.2021
andrew-surman,"Aug 20, 1986",33,"1,78 m",England  South Africa,left,30.06.2020
mario-vrancic,"May 23, 1989",30,"1,87 m",Bosnia-Herzegovina  Germany,left,30.06.2021
aaron-lennon,"Apr 16, 1987",32,"1,65 m",England  Ireland,right,30.06.2020
james-tarkowski,"Nov 19, 1992",26,"1,85 m",England  Poland,right,30.06.2022
daniel-amartey,"Dec 21, 1994",24,"1,86 m",Ghana,right,30.06.2022
dwight-gayle,"Oct 17, 1990",29,"1,77 m",England  Jamaica,right,30.06.2021
dominic-solanke,"Sep 14, 1997",22,"1,86 m",England  Nigeria,right,30.06.2022
claudio-bravo,"Apr 13, 1983",36,"1,84 m",Chile  Spain,right,30.06.2020
john-egan,"Oct 20, 1992",27,"1,85 m",Ireland,right,30.06.2022
marcus-rashford,"Oct 31, 1997",22,"1,85 m",England,right,30.06.2023
alex-mccarthy,"Dec 3, 1989",29,"1,93 m",England,right,30.06.2022
michel-vorm,"Oct 20, 1983",36,"1,83 m",Netherlands  Suriname,right,30.06.2020
scott-mctominay,"Dec 8, 1996",22,"1,90 m",Scotland  England,right,30.06.2023
serge-aurier,"Dec 24, 1992",26,"1,76 m",Cote d'Ivoire,right,30.06.2022
george-thomas,"Mar 24, 1997",22,"1,73 m",Wales  England,right,30.06.2020
enda-stevens,"Jul 9, 1990",29,"1,83 m",Ireland,left,30.06.2022
wes-morgan,"Jan 21, 1984",35,"1,85 m",Jamaica  England,right,30.06.2020
david-de-gea,"Nov 7, 1990",29,"1,89 m",Spain,right,30.06.2023
yoshinori-muto,"Jul 15, 1992",27,"1,78 m",Japan,right,30.06.2022
ashley-barnes,"Oct 30, 1989",30,"1,86 m",England,right,30.06.2022
sean-longstaff,"Oct 30, 1997",22,"1,81 m",England,right,30.06.2022
richard-stearman,"Aug 19, 1987",32,"1,91 m",England  Ireland,right,30.06.2020
